review_id,review,rating,date,bank,source,sentiment_label,sentiment_score,model,noun_phrases,themes
11,nice app...,5,2025-11-25,Commercial Bank of Ethiopia,Google Play,positive,0.9997116923332214,distilbert-base-uncased-finetuned-sst-2-english,['nice app'],
12,very good banking service and fast service,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,positive,0.9998499155044556,distilbert-base-uncased-finetuned-sst-2-english,"['very good banking service', 'fast service']",
13,thanks blc this app help me to use all time,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,positive,0.997163951396942,distilbert-base-uncased-finetuned-sst-2-english,"['this app', 'me']",
14,good,5,2025-11-24,Commercial Bank of Ethiopia,Google Play,positive,0.999816119670868,distilbert-base-uncased-finetuned-sst-2-english,[],
15,why we can't send money to other people telebirr wallets??,1,2025-11-24,Commercial Bank of Ethiopia,Google Play,negative,0.9984826445579528,distilbert-base-uncased-finetuned-sst-2-english,"['we', 'money', 'other people', 'telebirr']",Transactions / Transfers
16,አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,Commercial Bank of Ethiopia,Google Play,negative,0.9856644868850708,distilbert-base-uncased-finetuned-sst-2-english,"['ግን', '11.50 ብር ስትቆርጡ ይስተካከልልን']",
17,በጣም ቀላልና ምቹ ነው።,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,negative,0.8832131028175354,distilbert-base-uncased-finetuned-sst-2-english,['በጣም ቀላልና ምቹ ነው።'],
18,wow,5,2025-11-23,Commercial Bank of Ethiopia,Google Play,positive,0.999592125415802,distilbert-base-uncased-finetuned-sst-2-english,[],
19,nice,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,positive,0.9998552799224854,distilbert-base-uncased-finetuned-sst-2-english,[],
20,you are the reason why i got ye chogara himem,1,2025-11-22,Commercial Bank of Ethiopia,Google Play,negative,0.9818922877311708,distilbert-base-uncased-finetuned-sst-2-english,"['you', 'the reason', 'i', 'ye chogara himem']",
21,it is so smart app i recommend it for everyone,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,positive,0.9998483657836914,distilbert-base-uncased-finetuned-sst-2-english,"['it', 'so smart app', 'i', 'it', 'everyone']",
22,excellent,5,2025-11-22,Commercial Bank of Ethiopia,Google Play,positive,0.9998434782028198,distilbert-base-uncased-finetuned-sst-2-english,[],
23,ዳጊ,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727,distilbert-base-uncased-finetuned-sst-2-english,[],
24,absolutely right,5,2025-11-21,Commercial Bank of Ethiopia,Google Play,positive,0.9998525381088256,distilbert-base-uncased-finetuned-sst-2-english,[],
25,mid application it's so annoying,3,2025-11-20,Commercial Bank of Ethiopia,Google Play,negative,0.9997883439064026,distilbert-base-uncased-finetuned-sst-2-english,['it'],
26,I used morethan one year,4,2025-11-20,Commercial Bank of Ethiopia,Google Play,negative,0.9802079796791076,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'morethan']",
27,no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,Commercial Bank of Ethiopia,Google Play,negative,0.9920698404312134,distilbert-base-uncased-finetuned-sst-2-english,"['no word', 'this app', 'it']",
28,"It's great app,I love this app",5,2025-11-20,Commercial Bank of Ethiopia,Google Play,positive,0.9998750686645508,distilbert-base-uncased-finetuned-sst-2-english,"['it', 'great app', 'i', 'this app']",
29,Nice,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,positive,0.9998552799224854,distilbert-base-uncased-finetuned-sst-2-english,[],
30,suckkkks,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,negative,0.9737536311149596,distilbert-base-uncased-finetuned-sst-2-english,['suckkkks'],
31,not allowing to transfer and showing current statement updates.,1,2025-11-19,Commercial Bank of Ethiopia,Google Play,negative,0.9991471767425536,distilbert-base-uncased-finetuned-sst-2-english,[],Transactions / Transfers
32,I love you this app,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,positive,0.9998642206192015,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'you']",
33,"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Commercial Bank of Ethiopia,Google Play,positive,0.9993645548820496,distilbert-base-uncased-finetuned-sst-2-english,"['fast and convenient app', 'thanks', 'your dedication', 'a bank', 'good options', 'your cuatomers']",
34,make life easy,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,positive,0.999527096748352,distilbert-base-uncased-finetuned-sst-2-english,['life'],
35,securr,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,negative,0.989194393157959,distilbert-base-uncased-finetuned-sst-2-english,['securr'],
36,My most optional bank,5,2025-11-17,Commercial Bank of Ethiopia,Google Play,positive,0.7555276155471802,distilbert-base-uncased-finetuned-sst-2-english,['my most optional bank'],
37,5 star,5,2025-11-17,Commercial Bank of Ethiopia,Google Play,positive,0.9964116215705872,distilbert-base-uncased-finetuned-sst-2-english,['5 star'],
38,it is fantastic app.,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,positive,0.9998733997344972,distilbert-base-uncased-finetuned-sst-2-english,"['it', 'fantastic app']",
39,sifen,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,negative,0.8473548293113708,distilbert-base-uncased-finetuned-sst-2-english,['sifen'],
40,i like this√,4,2025-11-16,Commercial Bank of Ethiopia,Google Play,positive,0.9998555183410645,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'this√']",
41,Ok,3,2025-11-16,Commercial Bank of Ethiopia,Google Play,positive,0.9997851252555848,distilbert-base-uncased-finetuned-sst-2-english,[],
42,ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,Commercial Bank of Ethiopia,Google Play,negative,0.9916301369667052,distilbert-base-uncased-finetuned-sst-2-english,"['app', 'app ሲደረግ ለምንድነዉ', 'ጥሩ ነዉ።']",Login / Access Issues
43,"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,Commercial Bank of Ethiopia,Google Play,negative,0.9996232986450196,distilbert-base-uncased-finetuned-sst-2-english,"['what', 'this app', 'beneficiary', 'android users', 'ios users', 'full access', 'restrictions', 'android users', 'second class customers', 'it', 'the same app', 'the same service', 'clearly not the same experience', 'this kind', 'platform bias', 'everyone', 'the same features', 'you', 'functionality', 'it']",Feature Requests / Suggestions|UI / UX
44,Like,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,positive,0.9910564422607422,distilbert-base-uncased-finetuned-sst-2-english,[],
45,Nice and very useful app i like it!,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,positive,0.999858856201172,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'it']",
46,Good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,positive,0.999816119670868,distilbert-base-uncased-finetuned-sst-2-english,[],
47,smart app,4,2025-11-12,Commercial Bank of Ethiopia,Google Play,positive,0.999789297580719,distilbert-base-uncased-finetuned-sst-2-english,['smart app'],
48,good App,5,2025-11-12,Commercial Bank of Ethiopia,Google Play,positive,0.9998493194580078,distilbert-base-uncased-finetuned-sst-2-english,['good app'],
49,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,Commercial Bank of Ethiopia,Google Play,negative,0.992516815662384,distilbert-base-uncased-finetuned-sst-2-english,"['sync problem', 'may', 'pls']",
50,ok,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,positive,0.9997851252555848,distilbert-base-uncased-finetuned-sst-2-english,[],
51,cbe is my choice,4,2025-11-11,Commercial Bank of Ethiopia,Google Play,positive,0.9987378716468812,distilbert-base-uncased-finetuned-sst-2-english,"['cbe', 'my choice']",
52,Awesome,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,positive,0.9998682737350464,distilbert-base-uncased-finetuned-sst-2-english,['awesome'],
53,I am not able to transfer. The app is not responding,1,2025-11-11,Commercial Bank of Ethiopia,Google Play,negative,0.999775230884552,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'the app']",Transactions / Transfers
54,Very convenient App,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,positive,0.994573414325714,distilbert-base-uncased-finetuned-sst-2-english,['very convenient app'],
55,excellent but sometimes can not connect,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,negative,0.9832204580307008,distilbert-base-uncased-finetuned-sst-2-english,[],
56,wow apk,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,positive,0.9992477893829346,distilbert-base-uncased-finetuned-sst-2-english,[],
57,best 100 %,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,positive,0.9998010993003844,distilbert-base-uncased-finetuned-sst-2-english,['best 100 %'],
58,bad app,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,negative,0.9997212290763856,distilbert-base-uncased-finetuned-sst-2-english,['bad app'],
59,best app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,positive,0.999686598777771,distilbert-base-uncased-finetuned-sst-2-english,['best app'],
60,nice app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,positive,0.9998061060905457,distilbert-base-uncased-finetuned-sst-2-english,['nice app'],
61,bad app,4,2025-11-10,Commercial Bank of Ethiopia,Google Play,negative,0.9997212290763856,distilbert-base-uncased-finetuned-sst-2-english,['bad app'],
62,the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,positive,0.8869743943214417,distilbert-base-uncased-finetuned-sst-2-english,"['the app', 'a decent connection', 'a cleared cache', 'telebirr']",
63,I can't access it properly I think it needs update,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,negative,0.9996213912963868,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'it', 'i', 'it', 'update']",
64,👌👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727,distilbert-base-uncased-finetuned-sst-2-english,[],
65,best 👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,positive,0.9997019171714784,distilbert-base-uncased-finetuned-sst-2-english,[],
66,good,4,2025-11-10,Commercial Bank of Ethiopia,Google Play,positive,0.999816119670868,distilbert-base-uncased-finetuned-sst-2-english,[],
67,not Refresh,2,2025-11-10,Commercial Bank of Ethiopia,Google Play,negative,0.999051868915558,distilbert-base-uncased-finetuned-sst-2-english,[],
68,your statement is not used as wanted,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,negative,0.99908447265625,distilbert-base-uncased-finetuned-sst-2-english,['your statement'],
69,good very good,5,2025-11-09,Commercial Bank of Ethiopia,Google Play,positive,0.9998477697372437,distilbert-base-uncased-finetuned-sst-2-english,[],
70,this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Commercial Bank of Ethiopia,Google Play,negative,0.9997031092643738,distilbert-base-uncased-finetuned-sst-2-english,"['this', 'absolute trash', 'it', 'the servers', 'i', '4g data internet', 'they', 'they', 'even data package', 'it', 'trash', 'money']",Transactions / Transfers
71,Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,negative,0.98004812002182,distilbert-base-uncased-finetuned-sst-2-english,"['bayeee', 'kana caalati nu gammachisa 🌏', '🏻']",
72,Good !,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,positive,0.9998268485069276,distilbert-base-uncased-finetuned-sst-2-english,[],
73,i like it,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,positive,0.99985933303833,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'it']",
74,Very nice app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,positive,0.9998562335968018,distilbert-base-uncased-finetuned-sst-2-english,['very nice app'],
75,the app is not functional this week.,4,2025-11-08,Commercial Bank of Ethiopia,Google Play,negative,0.9996664524078368,distilbert-base-uncased-finetuned-sst-2-english,['the app'],
76,very updated bank,5,2025-11-06,Commercial Bank of Ethiopia,Google Play,positive,0.999656081199646,distilbert-base-uncased-finetuned-sst-2-english,['very updated bank'],
77,tankyu,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,positive,0.8404369354248047,distilbert-base-uncased-finetuned-sst-2-english,['tankyu'],
78,Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,negative,0.986690640449524,distilbert-base-uncased-finetuned-sst-2-english,"['numbers', 'pin verification']",Login / Access Issues
79,"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Commercial Bank of Ethiopia,Google Play,negative,0.9989122152328492,distilbert-base-uncased-finetuned-sst-2-english,"['it', 'you', 'a nearby bank', 'you', 'they', 'you', 'a new sim card', 'which', 'you', 'a new sim card', 'you', 'them', 'a new sim card', 'you', 'there service provider', 'authentication pin', 'the system']",Login / Access Issues
80,loved it,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,positive,0.9998797178268432,distilbert-base-uncased-finetuned-sst-2-english,['it'],
81,Ok,1,2025-11-05,Commercial Bank of Ethiopia,Google Play,positive,0.9997851252555848,distilbert-base-uncased-finetuned-sst-2-english,[],
82,this app is not working on my phone,5,2025-11-03,Commercial Bank of Ethiopia,Google Play,negative,0.9996734857559204,distilbert-base-uncased-finetuned-sst-2-english,"['this app', 'my phone']",
83,CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,Commercial Bank of Ethiopia,Google Play,negative,0.964024543762207,distilbert-base-uncased-finetuned-sst-2-english,"['cbe', 'transaction fees', 'the transaction', 'this', 'a big issue', 'fees']",
84,"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,Google Play,negative,0.9985938668251038,distilbert-base-uncased-finetuned-sst-2-english,"['the recent updates', 'i', 'a receipt', 'i', 'the names', 'account holders', 'i', 'it']",
85,wow 😘😘😘,4,2025-11-02,Commercial Bank of Ethiopia,Google Play,positive,0.9992976188659668,distilbert-base-uncased-finetuned-sst-2-english,[],
86,mobile banking broblem,5,2025-11-01,Commercial Bank of Ethiopia,Google Play,negative,0.9918060302734376,distilbert-base-uncased-finetuned-sst-2-english,['mobile banking broblem'],
87,good job,5,2025-11-01,Commercial Bank of Ethiopia,Google Play,positive,0.999835729598999,distilbert-base-uncased-finetuned-sst-2-english,['good job'],
88,good,3,2025-11-01,Commercial Bank of Ethiopia,Google Play,positive,0.999816119670868,distilbert-base-uncased-finetuned-sst-2-english,[],
89,it is a good and clear apps to use,4,2025-10-31,Commercial Bank of Ethiopia,Google Play,positive,0.9998574256896972,distilbert-base-uncased-finetuned-sst-2-english,"['it', 'a good and clear apps']",
90,ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,Commercial Bank of Ethiopia,Google Play,negative,0.9298381209373474,distilbert-base-uncased-finetuned-sst-2-english,"['ለምንድን ነው ከንግድ ባንክ ወደ', 'ብር እንዲቆርጥ ያደረጋችሁት']",
91,I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,Commercial Bank of Ethiopia,Google Play,positive,0.9998561143875122,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'this app', 'c', 'every option', 'the app']",
92,niiceh,5,2025-10-29,Commercial Bank of Ethiopia,Google Play,positive,0.8779535889625549,distilbert-base-uncased-finetuned-sst-2-english,['niiceh'],
93,the app is good but their is no dark mode you have to add it,3,2025-10-29,Commercial Bank of Ethiopia,Google Play,positive,0.9965399503707886,distilbert-base-uncased-finetuned-sst-2-english,"['the app', 'their', 'no dark mode', 'you', 'it']",
94,🤮,1,2025-10-29,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727,distilbert-base-uncased-finetuned-sst-2-english,[],
95,abdulakim abrahim elemoo,5,2025-10-29,Commercial Bank of Ethiopia,Google Play,positive,0.9634568691253662,distilbert-base-uncased-finetuned-sst-2-english,['abdulakim abrahim'],
96,strong,5,2025-10-28,Commercial Bank of Ethiopia,Google Play,positive,0.999862551689148,distilbert-base-uncased-finetuned-sst-2-english,[],
97,Abebaw Zenebe,5,2025-10-28,Commercial Bank of Ethiopia,Google Play,negative,0.5422852039337158,distilbert-base-uncased-finetuned-sst-2-english,['abebaw zenebe'],
98,good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,positive,0.9990962743759156,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'it', 'it', 'we', 'a new update', 'that', 'fire', 'soo']",
99,Cbe,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,positive,0.9966009855270386,distilbert-base-uncased-finetuned-sst-2-english,['cbe'],
100,Active and granted system,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,positive,0.998322069644928,distilbert-base-uncased-finetuned-sst-2-english,['system'],
101,fast app,4,2025-10-27,Commercial Bank of Ethiopia,Google Play,positive,0.9983617663383484,distilbert-base-uncased-finetuned-sst-2-english,['fast app'],
102,cool 😎,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,positive,0.9997991919517516,distilbert-base-uncased-finetuned-sst-2-english,[],
103,Galaxy A10s,3,2025-10-26,Commercial Bank of Ethiopia,Google Play,positive,0.8983981609344482,distilbert-base-uncased-finetuned-sst-2-english,['galaxy a10s'],
104,the best apps,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,positive,0.9998617172241212,distilbert-base-uncased-finetuned-sst-2-english,['the best apps'],
105,arif app new,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,negative,0.5203995704650879,distilbert-base-uncased-finetuned-sst-2-english,['arif app'],
106,laga Bari biranch,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,negative,0.9922856092453004,distilbert-base-uncased-finetuned-sst-2-english,['laga bari biranch'],App Performance / Crashes
107,ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,negative,0.6970565915107727,distilbert-base-uncased-finetuned-sst-2-english,['ነነሠነሠሠነሠሠሠሠነየነ'],
108,I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,Commercial Bank of Ethiopia,Google Play,negative,0.9949775338172911,distilbert-base-uncased-finetuned-sst-2-english,"['i', 'you', 'the time', 'it', 'the money', 'it', 'the next day']",
109,Attractive,5,2025-10-25,Commercial Bank of Ethiopia,Google Play,positive,0.9998689889907836,distilbert-base-uncased-finetuned-sst-2-english,[],
110,mite,5,2025-10-24,Commercial Bank of Ethiopia,Google Play,negative,0.996557116508484,distilbert-base-uncased-finetuned-sst-2-english,['mite'],
111,useful,5,2025-10-24,Commercial Bank of Ethiopia,Google Play,positive,0.9997634291648864,distilbert-base-uncased-finetuned-sst-2-english,[],
112,nice,4,2025-10-23,Commercial Bank of Ethiopia,Google Play,positive,0.9998552799224854,distilbert-base-uncased-finetuned-sst-2-english,[],
113,"not good, not bad!",3,2025-10-23,Commercial Bank of Ethiopia,Google Play,negative,0.9981550574302672,distilbert-base-uncased-finetuned-sst-2-english,[],
114,very good,5,2025-10-23,Commercial Bank of Ethiopia,Google Play,positive,0.9998520612716676,distilbert-base-uncased-finetuned-sst-2-english,[],
115,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,Commercial Bank of Ethiopia,Google Play,negative,0.9546589255332948,distilbert-base-uncased-finetuned-sst-2-english,"['እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን', 'ከ', '100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል']",
116,imp,5,2025-10-22,Commercial Bank of Ethiopia,Google Play,negative,0.9978600144386292,distilbert-base-uncased-finetuned-sst-2-english,[],
117,super fast app,5,2025-10-21,Commercial Bank of Ethiopia,Google Play,positive,0.9976546168327332,distilbert-base-uncased-finetuned-sst-2-english,['super fast app'],
118,good app,4,2025-10-20,Commercial Bank of Ethiopia,Google Play,positive,0.9998493194580078,distilbert-base-uncased-finetuned-sst-2-english,['good app'],
119,"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,Commercial Bank of Ethiopia,Google Play,negative,0.998361885547638,distilbert-base-uncased-finetuned-sst-2-english,"['the app', 'a nice design', 'useful features', 'balance check', 'transfers', 'it', 'it', 'users', 'developer options', 'which', 'other banking apps', 'that', 'many people', 'developer mode', 'normal reasons', 'performance issues', 'this restriction', 'biometric login', 'better security', 'convenience']",Feature Requests / Suggestions|Login / Access Issues|Transactions / Transfers
120,cbe,4,2025-10-18,Commercial Bank of Ethiopia,Google Play,positive,0.9966009855270386,distilbert-base-uncased-finetuned-sst-2-english,['cbe'],
121,"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,Commercial Bank of Ethiopia,Google Play,negative,0.9991005659103394,distilbert-base-uncased-finetuned-sst-2-english,"['it', 'ti', 'your device', 'what', 'i']",
122,blah blah blah,5,2025-10-18,Commercial Bank of Ethiopia,Google Play,negative,0.997789978981018,distilbert-base-uncased-finetuned-sst-2-english,[],
123,bad ግዴታ መሆንሁ,1,2025-10-17,Commercial Bank of Ethiopia,Google Play,negative,0.9995405673980712,distilbert-base-uncased-finetuned-sst-2-english,['bad ግዴታ መሆንሁ'],
124,CBE no.1,5,2025-10-17,Commercial Bank of Ethiopia,Google Play,positive,0.9968194961547852,distilbert-base-uncased-finetuned-sst-2-english,['cbe no.1'],
125,"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,Commercial Bank of Ethiopia,Google Play,positive,0.996988832950592,distilbert-base-uncased-finetuned-sst-2-english,"['it', 'it', 'it']",
126,its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,positive,0.999740183353424,distilbert-base-uncased-finetuned-sst-2-english,"['its easy', 'i', 'it', 'commercial bank', 'ethiopia', 'every time update']",UI / UX
127,gooof,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,negative,0.996545135974884,distilbert-base-uncased-finetuned-sst-2-english,['gooof'],
128,"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,Commercial Bank of Ethiopia,Google Play,negative,0.9996702671051024,distilbert-base-uncased-finetuned-sst-2-english,"['the cbe application', 'i', 'callcenter', 'i', 'it', 'it', 'i', 'any branch', 'it', 'i', 'cbe silassie branch', 'a form', 'they', 'me', 'i', 'they', ""2 customer's case"", 'who', 'me', 'it', 'my turn ppl', 'who', 'me', 'same mobile banking', 'even atm card cases', 'i', 'my work', 'i', 'no service.why']",App Performance / Crashes
129,Best app,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,positive,0.999686598777771,distilbert-base-uncased-finetuned-sst-2-english,['best app'],
130,still not perfect like before,1,2025-10-15,Commercial Bank of Ethiopia,Google Play,negative,0.9995744824409484,distilbert-base-uncased-finetuned-sst-2-english,[],
131,This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,Commercial Bank of Ethiopia,Google Play,negative,0.9985210299491882,distilbert-base-uncased-finetuned-sst-2-english,"['this app dash board', 'me', 'it', 'me', 'traxation', 'my balance', 'others', 'option', 'dashboard', 'i', 'it', 'a risk', '😭', '😭', '🤤']",
132,APPLIED,1,2025-10-14,Commercial Bank of Ethiopia,Google Play,positive,0.998971939086914,distilbert-base-uncased-finetuned-sst-2-english,[],
133,10 years ago,4,2025-10-14,Commercial Bank of Ethiopia,Google Play,positive,0.906000316143036,distilbert-base-uncased-finetuned-sst-2-english,[],
134,Asefa Obsa,5,2025-10-14,Commercial Bank of Ethiopia,Google Play,negative,0.9988316893577576,distilbert-base-uncased-finetuned-sst-2-english,['asefa obsa'],
